ma_can,dia_chi,quan,gia_thue_vnd,dien_tich_m2,tien_ich_xung_quanh
30abe3f3-f09b-4735-a93b-df11ceb4a675,314A Nguyễn Trãi,Thanh Xuân,11600000,69,Chợ dân sinh; Trường học; Phòng gym; Trung tâm thương mại; Sân tennis
6330efd4-48a5-497f-802e-b83c08590d5e,67D Ngọc Lâm,Long Biên,6000000,62,Chợ dân sinh; Trường học; Siêu thị; Công viên; Trung tâm thương mại
72270425-3670-45fb-a96f-7888e61897b9,60D Linh Đàm,Hoàng Mai,5600000,27,Trường học; Bến xe buýt; Bệnh viện; Trung tâm thương mại
8890483e-8c50-4811-bbea-63e814e0b054,971A Giáp Bát,Hoàng Mai,2100000,59,Chợ dân sinh; Siêu thị; Bến xe buýt; Phòng gym
aed6d560-3f7c-4618-8be7-f902f6e3df57,360B Ngọc Lâm,Long Biên,10500000,68,Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Rạp chiếu phim
6a6ba172-94fd-4911-9f0e-b0e0363dd359,964C Nguyễn Văn Cừ,Long Biên,11500000,74,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Rạp chiếu phim
defa7279-001d-48ab-8b48-984c48b27e96,435A Việt Hưng,Long Biên,5100000,68,Chợ dân sinh; Trường học; Công viên; Bãi đỗ xe ô tô
d096db5e-5625-4427-be81-d0785d305750,202C Phạm Hùng,Nam Từ Liêm,6800000,61,Chợ dân sinh; Trường học; Siêu thị; Khu vui chơi trẻ em; Rạp chiếu phim
076e47fc-644c-4345-bf75-3081ca79800e,551D Định Công,Hoàng Mai,5100000,80,Chợ dân sinh; Bến xe buýt; Phòng gym
4b94e126-3cee-4fca-99f9-5fe047598d4d,577C Xã Đàn,Đống Đa,6100000,82,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bãi đỗ xe ô tô
ed4c329e-5917-40aa-a014-a7dc3acc6b1b,212E Liễu Giai,Ba Đình,4000000,61,Bãi đỗ xe ô tô; Trung tâm thương mại
dc3ff883-4b0b-4efa-9d73-8c5a0019926d,130E Nguyễn Văn Cừ,Long Biên,14600000,98,Trường học; Công viên; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại; Sân tennis
8b35bfef-1085-41d3-bae1-43edcc8a439c,865C Minh Khai,Hai Bà Trưng,10500000,104,Trường học; Bến xe buýt; Công viên; Trung tâm thương mại; Sân tennis
e1620330-b7d9-4d65-998e-750786824191,607C Xã Đàn,Đống Đa,8700000,112,Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Trung tâm thương mại; Sân tennis
1c029e91-3423-4e89-8246-660304d52336,952C Chùa Bộc,Đống Đa,9300000,72,Trường học; Công viên; Bãi đỗ xe ô tô; Trung tâm thương mại
8041f94b-6ad3-422c-a65d-f50d381b3669,700C Xã Đàn,Đống Đa,4000000,20,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô
5f594265-af11-4b13-a9cf-cf9d905197ad,81D Ngọc Lâm,Long Biên,9500000,55,Trường học; Bến xe buýt; Trung tâm thương mại
d688cf00-3ec6-4c28-88d5-c364af1f19d7,761A Nguyễn Khánh Toàn,Cầu Giấy,10900000,41,Siêu thị; Bến xe buýt; Phòng gym; Trung tâm thương mại
bf3fa651-0f68-4b94-99dd-0564e83f5979,628D Phạm Hùng,Nam Từ Liêm,7800000,91,Chợ dân sinh; Siêu thị; Công viên; Trung tâm thương mại
97a9dc52-1b74-4428-86f9-372c76fe546f,238B Trần Duy Hưng,Cầu Giấy,6800000,122,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Khu vui chơi trẻ em; Rạp chiếu phim
41e62f3c-dea3-444a-91d5-cac442d5d42d,961E Văn Quán,Hà Đông,7600000,100,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Trung tâm thương mại; Rạp chiếu phim
ccb669d3-9001-4c1d-8ea2-773185b894d0,363C Nguyễn Thái Học,Ba Đình,2500000,58,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt
58f858c2-de1b-46f7-b0a1-646d9e05db36,561B Định Công,Hoàng Mai,9600000,88,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi
2544739e-6634-47f1-8733-712fcda5e869,9D Lý Thường Kiệt,Hoàn Kiếm,14100000,105,Chợ dân sinh; Trường học; Bệnh viện; Khu vui chơi trẻ em; Rạp chiếu phim
79bc0051-a6c6-4ec9-bbd9-f20ee200e895,141A Xuân Đỉnh,Bắc Từ Liêm,9700000,81,Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại
959d9fa6-6b1d-4afc-9b47-840c2cc0939a,172B Xã Đàn,Đống Đa,4500000,20,Chợ dân sinh; Trường học; Bến xe buýt; Bãi đỗ xe ô tô
2cbb2499-1fd7-44ea-b521-bd295a132009,66D Việt Hưng,Long Biên,4100000,76,Trường học; Siêu thị; Bến xe buýt; Công viên; Bể bơi; Rạp chiếu phim
a69fa7c1-ca82-4c6c-9ba8-3e055f51aaa6,532E Đông Ngạc,Bắc Từ Liêm,7000000,89,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bể bơi
028372d7-c30d-4d2b-b7ce-34de2f959622,451E Trần Khát Chân,Hai Bà Trưng,8800000,120,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô
b93fc406-ae0a-49be-b1b4-ac45ca705b87,994B Tân Mai,Hoàng Mai,1800000,38,Chợ dân sinh; Siêu thị; Bến xe buýt; Khu vui chơi trẻ em
b8ddc792-ba2f-46e8-b524-f277a46f31cb,788D Mộ Lao,Hà Đông,4800000,20,Chợ dân sinh; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Rạp chiếu phim
d6610644-3967-4833-b941-e0ea0df17a73,883A Phạm Hùng,Nam Từ Liêm,10600000,58,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bể bơi; Rạp chiếu phim
a138293c-38fb-4ce8-8b7c-be28a4369711,966E Kim Mã,Ba Đình,14800000,85,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Trung tâm thương mại; Rạp chiếu phim; Sân tennis
92977e2d-06a8-40bd-9865-22ae5a0e0cc2,378A Kim Ngưu,Hai Bà Trưng,11900000,72,Chợ dân sinh; Trường học; Siêu thị; Công viên; Khu vui chơi trẻ em; Trung tâm thương mại
48ff349a-a753-48fc-b43c-94026d44d5c2,655C Láng Hạ,Đống Đa,14700000,149,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Trung tâm thương mại; Bể bơi; Rạp chiếu phim
29c944ee-6265-4d3c-8e28-b0ccd7c842dd,583D Lê Văn Lương,Thanh Xuân,6100000,71,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Bể bơi
1de7741c-c36b-4082-922b-a0d6f3d91357,9C Xã Đàn,Đống Đa,9900000,111,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bể bơi
a896a354-9901-46a8-90eb-6da271674041,198E Linh Đàm,Hoàng Mai,6600000,101,Trường học
284258f9-3062-42cc-9943-b10b22f4ac30,138B Khương Trung,Thanh Xuân,5800000,35,Chợ dân sinh; Siêu thị
c75e15b6-e699-48ab-82f8-b43abcaf6f39,231E Tây Sơn,Đống Đa,5400000,63,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Sân tennis
1fb11de5-de64-4eb0-b20f-9fa6ffe99fc6,793A Đại Mỗ,Nam Từ Liêm,14500000,163,Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Bể bơi; Rạp chiếu phim; Sân tennis
662fd1bf-b331-40ab-a530-52cab72e4177,288D Chùa Bộc,Đống Đa,9500000,91,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Sân tennis
a569a484-01e0-4075-b868-78e29748049e,754C Việt Hưng,Long Biên,14000000,55,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Trung tâm thương mại
7a3afbc1-ad14-4b27-b55f-55567cd9892b,389A Đông Ngạc,Bắc Từ Liêm,7800000,47,Trường học; Siêu thị; Bến xe buýt; Công viên; Phòng gym; Khu vui chơi trẻ em; Bể bơi
ca1f25e6-b602-4e47-89b8-06f713dbe412,285A Phạm Hùng,Nam Từ Liêm,9800000,98,Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Rạp chiếu phim
c0dfa752-df50-4278-b385-627f271ff5b0,166A Trần Duy Hưng,Cầu Giấy,11100000,113,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Trung tâm thương mại; Sân tennis
bcc297c2-02cf-4dac-bd12-914972a59207,701A Nguyễn Thái Học,Ba Đình,15300000,119,Siêu thị; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi
25a63859-e8b9-44e4-b807-298ed701faa0,798C Mỹ Đình,Nam Từ Liêm,6700000,54,Chợ dân sinh; Trường học; Bể bơi
c09830a0-2300-4dc9-bf64-c9cca9a0d45f,163B Quang Trung,Hà Đông,6400000,36,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Rạp chiếu phim
cc2a1119-6f26-47a5-982c-2434f3b68a5b,245D Kim Mã,Ba Đình,1900000,77,Chợ dân sinh; Trường học; Siêu thị; Phòng gym; Rạp chiếu phim
aa66de2a-9b59-4998-9eda-850d535e29e8,84C Định Công,Hoàng Mai,9000000,147,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Khu vui chơi trẻ em; Trung tâm thương mại
4dacfe97-5d10-4cba-aa47-06d44742079a,696B Dịch Vọng Hậu,Cầu Giấy,14100000,96,Trường học; Siêu thị; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại
e42137b5-48da-49d8-bc74-ff5b11563a35,481B Mộ Lao,Hà Đông,5000000,39,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Bể bơi
e463830a-39cd-4e0d-84e6-3bcbca79e927,204E Lê Đức Thọ,Nam Từ Liêm,15100000,138,Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Sân tennis
cd97f680-3f51-4f2e-8823-cc9112f4098c,655A Xuân Đỉnh,Bắc Từ Liêm,7400000,94,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô
3eac5eca-4344-49cd-835d-d656fc4c2f6c,39E Quang Trung,Hà Đông,7700000,96,Trường học; Bến xe buýt; Công viên
327fd4ea-dbf0-4dd0-a4db-a5ea6c257058,539C Việt Hưng,Long Biên,7100000,45,Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Trung tâm thương mại
228ec706-6f60-426c-98ac-49d17b600df9,616A Trần Duy Hưng,Cầu Giấy,11700000,162,Siêu thị; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Bể bơi
41f067de-6ec7-4d6f-bc34-e8aa895b2c89,191A Lê Đức Thọ,Nam Từ Liêm,7000000,70,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô
ef3d85dc-c243-4cab-aeb6-81bda7bb6905,226A Nguyễn Khánh Toàn,Cầu Giấy,10700000,74,Chợ dân sinh; Công viên; Bệnh viện; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Sân tennis
d1c35c89-a8aa-4185-b628-2160462dd027,425A Việt Hưng,Long Biên,6900000,76,Trường học; Siêu thị; Bãi đỗ xe ô tô
87e10e65-9ab6-4fe6-a034-9473fe6b4bf8,903E Hàng Bài,Hoàn Kiếm,5500000,64,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bãi đỗ xe ô tô
2782a1f9-fad9-4311-98c4-5fec5c6a84b7,486C Dịch Vọng Hậu,Cầu Giấy,12400000,82,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Phòng gym; Khu vui chơi trẻ em; Rạp chiếu phim
8a0dc235-4eab-40cb-866c-8f9d207e5ae9,955A Quảng An,Tây Hồ,9500000,159,Chợ dân sinh; Trường học; Siêu thị; Bãi đỗ xe ô tô; Bể bơi
743c5a13-6676-4624-bf76-d0b510854f5e,14A Giáp Bát,Hoàng Mai,3200000,47,Chợ dân sinh; Trường học; Bệnh viện
08766b1d-755e-4d0f-8024-bd001b3c5652,141B Nguyễn Tuân,Thanh Xuân,11700000,116,Trường học; Bến xe buýt; Công viên; Phòng gym
a89ed6f0-567d-4fa3-83f3-84c179ed4251,755E Tân Mai,Hoàng Mai,6900000,44,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Bể bơi
e112b34b-5b4d-4549-88a7-d5078154dcd7,406E Văn Quán,Hà Đông,9300000,98,Chợ dân sinh; Bến xe buýt; Công viên; Bệnh viện; Trung tâm thương mại; Bể bơi
0a9ea434-0c70-4a43-9a80-7cff42dd50e2,762A Hàng Bông,Hoàn Kiếm,6400000,48,Siêu thị; Bến xe buýt; Bệnh viện; Phòng gym
5499fb77-6d99-4005-969d-66ace8cbedd5,799C Lê Đức Thọ,Nam Từ Liêm,3200000,44,Chợ dân sinh; Trường học; Bến xe buýt; Bãi đỗ xe ô tô
ace8dae7-c5d2-4884-a62d-8c8baab1887a,17D Bạch Mai,Hai Bà Trưng,10900000,150,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Bể bơi; Rạp chiếu phim
076fde94-fb24-438a-9c07-c99cda8219e0,151D Cổ Nhuế,Bắc Từ Liêm,7800000,128,Chợ dân sinh; Trường học; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại
7e82ca1e-7a8f-4b25-9916-26fb46765e54,698D Trần Khát Chân,Hai Bà Trưng,12300000,107,Chợ dân sinh; Trường học; Bến xe buýt; Phòng gym; Trung tâm thương mại; Bể bơi; Rạp chiếu phim; Sân tennis
6a6429c7-40cf-4102-92b2-9d74276ce96d,384E Minh Khai,Hai Bà Trưng,11500000,127,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Phòng gym; Trung tâm thương mại; Rạp chiếu phim
8a8118a2-d4f8-4510-bae1-0b4903f287fb,731A Văn Quán,Hà Đông,10500000,89,Bến xe buýt; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Bể bơi
7696c05f-4b8c-4101-a92a-47fe27042fd7,20A Kim Ngưu,Hai Bà Trưng,6200000,42,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Phòng gym; Trung tâm thương mại
44f98070-530d-4523-b526-33c3f28f8799,947B Lê Đức Thọ,Nam Từ Liêm,6900000,71,Trường học; Bệnh viện; Trung tâm thương mại
5f7062cc-2e87-4359-a490-24526115103c,131B Nguyễn Văn Cừ,Long Biên,7300000,44,Trường học; Bến xe buýt; Công viên; Bãi đỗ xe ô tô
f2a2448e-8dc5-42dc-b2b7-fc9628ce5e34,898E Trần Khát Chân,Hai Bà Trưng,3200000,56,Phòng gym
26bd5b6c-549c-419f-94ff-296b9baa33bb,962E Liễu Giai,Ba Đình,9400000,86,Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Trung tâm thương mại; Rạp chiếu phim
e280dad6-5bd7-4eb2-89ef-6aa032190adc,591B Tân Mai,Hoàng Mai,1800000,71,Chợ dân sinh; Trường học; Sân tennis
9ca74c6b-f2d4-40f2-8b63-2f33a6a98c12,8E Dịch Vọng Hậu,Cầu Giấy,6200000,20,Chợ dân sinh; Siêu thị; Công viên
df376261-f2a6-4df3-bea2-f3d412865082,143B Lê Đức Thọ,Nam Từ Liêm,3000000,63,Trường học; Bến xe buýt; Bãi đỗ xe ô tô
09fa3305-e3b7-4194-a7f6-4947b9d4c214,801C Xã Đàn,Đống Đa,3100000,43,Trường học; Bến xe buýt; Công viên; Rạp chiếu phim
8f24f9f4-b34f-45b0-ada2-e109d44f274c,82C Phạm Văn Đồng,Bắc Từ Liêm,4800000,20,Chợ dân sinh; Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Rạp chiếu phim
05398bf0-ec1e-49f7-82a6-9ad09d63f141,326C Trần Khát Chân,Hai Bà Trưng,8700000,71,Trường học; Bệnh viện
b379fc4e-d548-46c8-b636-e767de10f7f1,917D Trần Hưng Đạo,Hoàn Kiếm,11200000,89,Trường học; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym
2c6f70ca-86a4-40f7-9e3d-e3b5a2927cc5,481A Nguyễn Tuân,Thanh Xuân,7300000,54,Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô
bd4e846b-2895-41ae-8069-54d0e9e61a8d,377A Mỹ Đình,Nam Từ Liêm,6700000,37,Chợ dân sinh; Siêu thị; Bến xe buýt; Bệnh viện; Rạp chiếu phim
abfb1b6e-6c53-42d8-b037-9d20f17b0c74,602B Lê Đức Thọ,Nam Từ Liêm,9800000,82,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô
9aa5ca0c-30a2-4e88-a721-a88291b606b4,156E Phạm Văn Đồng,Bắc Từ Liêm,7400000,24,Chợ dân sinh; Trường học; Phòng gym; Bể bơi
f126d276-4425-4085-a010-5d70ba65aa27,625C Nguyễn Khánh Toàn,Cầu Giấy,8100000,82,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên
47214111-a2f6-445a-b022-3c80f261d461,475D Mộ Lao,Hà Đông,11200000,126,Chợ dân sinh; Siêu thị; Bến xe buýt; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại
c7a93871-5d0f-4173-866e-547d9d5dffdd,754B Định Công,Hoàng Mai,1700000,21,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bệnh viện
953054f5-e341-4fe2-afa9-e5284d2096f6,530C Phạm Hùng,Nam Từ Liêm,2300000,63,Chợ dân sinh; Bệnh viện
3eb6de6e-1201-4dee-a410-7658ab86478d,288C Nguyễn Trãi,Thanh Xuân,10800000,113,Trường học; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Phòng gym; Trung tâm thương mại; Bể bơi; Rạp chiếu phim
1002b73c-33a6-4250-91a8-ba1050d641ab,894A Linh Đàm,Hoàng Mai,11700000,114,Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Bể bơi
be7c6400-fe5c-4fc7-a288-e706a17b00ae,653B Nguyễn Khánh Toàn,Cầu Giấy,11100000,100,Chợ dân sinh; Bến xe buýt; Bệnh viện; Phòng gym; Khu vui chơi trẻ em; Bể bơi; Sân tennis
9c425fbf-c2cd-42aa-a9d5-dc3debf59a9a,916B Trần Duy Hưng,Cầu Giấy,9000000,58,Chợ dân sinh; Trường học; Bến xe buýt; Bệnh viện
e374bf2b-aaa4-4aac-abd0-1098fbf19e53,514C Nguyễn Văn Cừ,Long Biên,10400000,90,Trường học; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Rạp chiếu phim
abf1c3ab-3322-4671-bc82-30f9dc69db71,180B Mỹ Đình,Nam Từ Liêm,10700000,85,Chợ dân sinh; Trường học; Công viên; Phòng gym
9bb78d4b-2970-46c8-96c1-5a55f245bd5b,974D Nguyễn Văn Cừ,Long Biên,10000000,52,Chợ dân sinh; Siêu thị; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Rạp chiếu phim
d0406f1b-842f-4ff7-8d96-2c82f079e30b,130D Định Công,Hoàng Mai,2800000,42,Trường học; Siêu thị; Bến xe buýt
b83f595f-c51d-444d-aa1a-4f5a7ba8c3ab,67A Giáp Bát,Hoàng Mai,11600000,67,Chợ dân sinh; Siêu thị; Bến xe buýt; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi
252baa23-3f9d-4ed3-b99e-3f8f6696a0ab,575C Dịch Vọng Hậu,Cầu Giấy,7900000,30,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô
2b5b4faf-0aa0-440e-a9aa-5d7797722737,517C Đội Cấn,Ba Đình,6400000,55,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Khu vui chơi trẻ em
93126161-555c-4bae-b70f-2fdeee30c086,675E Giáp Bát,Hoàng Mai,10300000,106,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Bể bơi; Rạp chiếu phim; Sân tennis
5bce59cd-8e24-4322-9cca-d741c1c2dc19,189E Đông Ngạc,Bắc Từ Liêm,7400000,57,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Phòng gym; Bể bơi
1a02960b-5e0c-4773-84de-edcdb59a56cc,33C Nguyễn Khánh Toàn,Cầu Giấy,6300000,65,Trường học; Bến xe buýt; Phòng gym
0ec31eba-ff51-4285-bfa2-f164638cb5a1,588B Linh Đàm,Hoàng Mai,5200000,67,Bến xe buýt; Công viên; Bể bơi
5cf87140-ddf8-49f0-9ffe-b1847ef75f44,985A Tây Sơn,Đống Đa,4100000,49,Bến xe buýt; Bệnh viện; Trung tâm thương mại
ad87e69b-2e40-4450-a6d0-1ecca52a43ad,369B Linh Đàm,Hoàng Mai,1500000,20,Chợ dân sinh; Trường học; Trung tâm thương mại; Rạp chiếu phim
612bc73a-ac67-439b-b76a-0f6e70b8ff1d,580A Nguyễn Khánh Toàn,Cầu Giấy,14300000,152,Trường học; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Rạp chiếu phim
01314d06-424f-4133-97e6-c2428634587d,64A Cổ Nhuế,Bắc Từ Liêm,8100000,97,Chợ dân sinh; Bệnh viện; Khu vui chơi trẻ em
68887456-1db9-4724-8b9b-68db42a92be5,569E Đông Ngạc,Bắc Từ Liêm,9500000,22,Trường học; Bãi đỗ xe ô tô; Bể bơi; Rạp chiếu phim
87d95526-d369-4074-8100-79404e3d18f0,373A Lê Văn Lương,Thanh Xuân,10300000,69,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Phòng gym; Bể bơi; Sân tennis
5299844a-e3c8-439f-b1de-31888dd7f06a,520A Mộ Lao,Hà Đông,2200000,62,Chợ dân sinh; Trường học; Bến xe buýt
b0bf6580-7e2e-4ae1-b55c-f49a2547ea8d,203A Sài Đồng,Long Biên,11500000,82,Chợ dân sinh; Trường học; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Rạp chiếu phim
0a065f27-1940-484a-b352-3079bb51417b,784E Lê Đức Thọ,Nam Từ Liêm,9400000,92,Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym; Rạp chiếu phim; Sân tennis
0f670933-4c45-4a47-aea9-efd3366327ae,175D Lạc Long Quân,Tây Hồ,4700000,97,Bãi đỗ xe ô tô
946e22e8-d8c0-4ee9-92d2-ff115d394186,527E Xuân Thủy,Cầu Giấy,2200000,96,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Rạp chiếu phim
1129bf62-3eb2-45e6-9fba-ec37013c8b8f,661C Lê Đức Thọ,Nam Từ Liêm,8200000,86,Chợ dân sinh; Trường học; Công viên; Khu vui chơi trẻ em; Bể bơi
461e5574-f700-4502-90da-5a83927cff54,574C Kim Ngưu,Hai Bà Trưng,9200000,145,Chợ dân sinh; Bãi đỗ xe ô tô; Sân tennis
6f33347c-84f6-43e5-b6be-219a5b9c40c1,435C Quảng An,Tây Hồ,4700000,48,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên
11796560-098c-4c60-a810-f05735130d25,709D Bạch Mai,Hai Bà Trưng,8900000,83,Bến xe buýt; Công viên; Phòng gym; Rạp chiếu phim
8f4a6f30-ee88-4b1a-8bae-080165752b12,308C Lê Văn Lương,Thanh Xuân,8600000,109,Trường học; Siêu thị; Công viên; Phòng gym; Trung tâm thương mại; Rạp chiếu phim
f1d96f2e-9a15-4250-b77d-1f73bc1dadea,231E Chùa Bộc,Đống Đa,6500000,87,Trường học; Siêu thị; Công viên; Bãi đỗ xe ô tô
03eff5f9-3aa8-43d4-8c81-7d045a7c0128,60E Sài Đồng,Long Biên,5600000,28,Trường học; Siêu thị; Bến xe buýt; Khu vui chơi trẻ em; Rạp chiếu phim
bdaf4fa9-9265-44c1-9e1e-b435fd64d190,828E Nguyễn Khánh Toàn,Cầu Giấy,11900000,102,Chợ dân sinh; Trường học; Bãi đỗ xe ô tô; Khu vui chơi trẻ em
ac8d897e-c51a-43e9-a8b5-d7083d9d96df,355E Quảng An,Tây Hồ,4500000,20,Trường học; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Trung tâm thương mại
712f5af5-d742-4ef9-a53d-487b7803e0bd,602D Lê Văn Lương,Thanh Xuân,4600000,20,Trường học
ad21d641-f7cb-4640-93e3-99355ace190f,596E Ngọc Lâm,Long Biên,6900000,97,Chợ dân sinh; Bến xe buýt; Công viên; Bệnh viện; Bể bơi
6c8c01b8-e24d-40c6-a422-b2ff56e93221,754D Phạm Văn Đồng,Bắc Từ Liêm,9000000,91,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Phòng gym
b1dac2d0-f973-4a23-9055-4ee0d42229f4,317D Mộ Lao,Hà Đông,6600000,29,Chợ dân sinh; Siêu thị; Bến xe buýt; Bệnh viện; Khu vui chơi trẻ em; Rạp chiếu phim
f797caa1-a027-4a9b-bff0-8757831a7727,504C Tân Mai,Hoàng Mai,10000000,95,Trường học; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym; Trung tâm thương mại; Rạp chiếu phim
aefb9d87-2544-45fa-87c4-1a7517cf375a,835D Chùa Bộc,Đống Đa,11100000,134,Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Bể bơi
9b431e26-eb18-4a44-a6c5-a48ac52c7865,622B Trần Khát Chân,Hai Bà Trưng,12900000,37,Chợ dân sinh; Siêu thị; Bãi đỗ xe ô tô; Bể bơi
8fb2c2a5-701a-4b6a-9c75-6ce0fb197565,26C Mỹ Đình,Nam Từ Liêm,12500000,129,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym
62bc534f-514a-4bbe-b70f-43dcb7cf053f,316C Yên Nghĩa,Hà Đông,10800000,71,Chợ dân sinh; Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Sân tennis
8a1845f2-41bf-4614-9230-4f21049f3a1d,265E Quang Trung,Hà Đông,5100000,55,Trường học; Bến xe buýt; Bể bơi
c860f535-01eb-4e82-9554-47ce029f45b8,235A Yên Nghĩa,Hà Đông,3500000,60,Trường học; Siêu thị; Bến xe buýt
